date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:48	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Mar%202026%2023:37:48%20GMT	https://web.archive.org/robots.txt		(from )
20:37:49	233978/233978	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202026%2023:37:48%20GMT	https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931/https_/www.funintec.org.ar/programa-futuros/index.html	(from )
20:37:50	15127/15127	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22675cc6f0-3b17%22	http://archive.org/includes/athena.js	C:/My%20Web%20Sites/funintec/archive.org/includes/athena.js	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:51	27135/27135	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Mar%202026%2021:12:33%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=2N_sDSC0	C:/My%20Web%20Sites/funintec/web-static.archive.org/_static/js/bundle-playbackffba.js	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:52	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Mar%202026%2016:45:06%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/funintec/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:53	381452/381452	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Mar%202026%2021:12:33%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/funintec/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:53	10252/10252	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Mar%202026%2021:12:33%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=1utQkbB3	C:/My%20Web%20Sites/funintec/web-static.archive.org/_static/css/banner-styles074f.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:53	5649/5649	---MCZ	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202026%2016:45:06%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/funintec/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2028%20Mar%202026%2023:37:54%20GMT	https://web.archive.org/web/20240723040931cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.7	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/contact-form-7/includes/css/styles1014.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:54	3478/3478	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Mar%202026%2023:37:54%20GMT	https://web.archive.org/web/20240723090844cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.7	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723090844cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/contact-form-7/includes/css/styles1014.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2028%20Mar%202026%2023:37:55%20GMT	https://web.archive.org/web/20240723040931cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/public/assets/css/settings.css?ver=3.1.1	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/public/assets/css/settings.8b12b.delayed	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:55	33050/33050	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Mar%202026%2023:37:55%20GMT	https://web.archive.org/web/20240702210707cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/public/assets/css/settings.css?ver=3.1.1	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240702210707cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/public/assets/css/settingsb12b.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2028%20Mar%202026%2023:37:56%20GMT	https://web.archive.org/web/20240723040931cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/public/assets/font/fontello/css/fontello.css?ver=3.1.1	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/public/assets/font/fontello/css/fontellob12b.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:37:57	14470/14470	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Mar%202026%2023:37:58%20GMT	https://web.archive.org/web/20240329230841cs_/http://www.funintec.org.ar/_dev/wp-content/plugins/public/assets/font/fontello/css/fontello.css?ver=3.1.1	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240329230841cs_/http_/www.funintec.org.ar/_dev/wp-content/plugins/public/assets/font/fontello/css/fontellob12b.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
